,Site Name,Operator (or Applicant),Technology Type,Planning Authority,Planning Application Submitted
8671,"Larkins Farm, Gellings Lane - Solar Farm",North West Solar Limited,Solar Photovoltaics,Knowsley,2023-10-12
8721,"Coldharbour, Chickerell - Battery Storage Facility",23 Energy,Battery,Dorset,2023-04-25
8722,"Culham Science Centre, Clifton Hampden - Battery Storage Facility",Statera Energy,Battery,South Oxfordshire,2024-05-09
8734,"Littywood Farm, Toft Lane - Solar Array",Elgin Energy Services,Solar Photovoltaics,South Staffordshire,2022-12-05
8759,"Grove Farm, Cow Lane - Anaerobic Digestion Facility",Acorn Bioenergy Limited,Anaerobic Digestion,Vale of White Horse,2022-12-15
8763,"Herbert Woods, Bridge Road - Solar Panels",Herbert Woods,Solar Photovoltaics,Great Yarmouth,2023-01-06
8773,"Pool Farm, Mill Lane, Stratton - Solar Farm",JBM Solar Projects Limited,Battery,Cherwell,2023-01-03
8774,"Headland Hotel, Headland Road - Solar Panels",The Headland Hotel,Solar Photovoltaics,Cornwall,2023-01-04
8787,Blackpole Trading Estate West - Biomass Boiler,Blackpole Recycling Limited,Biomass (dedicated),Worcester,2021-08-23
8798,"Omega Proteins Penrith, Processing Plant - Anaerobic Digestion Facility",Omega Proteins Limited,Anaerobic Digestion,Westmorland and Furness,2023-04-26
8809,Wull Muir Wind Farm,Energiekontor UK Limited,Battery,Scottish Borders,2022-12-16
8830,"Woofields Farm, Coddington - Anaerobic Digestion",Private Developer,Anaerobic Digestion,"Herefordshire, County of",2023-01-04
8834,"Long Lane, Stanwell - Battery Energy Storage",Harwood Project One Limited,Battery,Spelthorne,2023-01-17
8858,"Hoburne Naish, Glenside Naish Estate - Solar panels",Hoburne Naish Holiday Park,Solar Photovoltaics,New Forest,2023-01-23
8893,"Gravel Farm, Cleeve - Solar Farm",Relay Gravel Limited,Solar Photovoltaics,Forest of Dean,2023-01-26
8921,"Roman Bank, Middle Marsh - Solar Farm",AUK PE12 Limited,Solar Photovoltaics,South Holland,2023-02-07
8927,"Streatham Campus, Stocker Road - Solar Panels",University of Exeter,Solar Photovoltaics,Exeter,2023-02-07
8937,"Westfield Road, Carlton - Battery Storage",Firma Vogt Solar Limited,Battery,Leeds,2023-01-24
8977,Fairways Business Park - Battery Storage ,Inverness Caledonian Thistle Football Club,Battery,Highland,2023-02-17
8979,"Par Market, Par Moor Road - Solar Array",Par Market,Solar Photovoltaics,Cornwall,2023-02-17
9004,"Elstree Film And TV Studios, Shenley Road - Solar Panels And ASHPs",Hertsmere Borough Council,Solar Photovoltaics,Hertsmere,2022-02-24
9015,"Oatcroft Fram, Titley - Solar PV Array",Green Switch Capital Limited,Solar Photovoltaics,"Herefordshire, County of",2023-12-04
9020,"Registry Twyver House, Bruton Way - Solar Panels",Unknown,Solar Photovoltaics,Gloucester,2023-02-02
9050,"Park House Farm, Meriden Road - Solar Farm",Enviromena Asset Management UK Limited,Solar Photovoltaics,North Warwickshire,2023-02-24
9063,Golf Road - Battery Energy Storage,Cragside Energy Limited,Battery,Trafford,2023-06-02
9096,Akeman Solar Park & Battery Storage,British Solar Renewables,Solar Photovoltaics,West Oxfordshire,2023-11-06
9097,Akeman Solar Park & Battery Storage,British Solar Renewables,Battery,West Oxfordshire,2023-11-06
9098,Lentons Lane Solar Farm,Coventry City Council,Solar Photovoltaics,Coventry,2023-05-30
